"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2","listing-card--owner-info__firm-name","he-icon href","text-ellipsis"
"https://www.hepsiemlak.com/istanbul-umraniye-yukari-dudullu-kiralik/residence/120181-339","35","48.000","23-02-2026","Kiralık Residence","2 +
                          1","85 m²","4
                        Yaşında","2. Kat","Ataşehir Quatro Residence Oturuma Hazır 2+1 Kiralık Daire","İstanbul / Ümraniye / Yukarı Dudullu Mah.","https://www.hepsiemlak.com/emlak-ofisi/sembol-gayrimenkul-120181","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/8/1/0/2/1/5fa8b2ee-bf48-4160-a0b2-a219f66000af.jpg","","Sembol Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-2-kisim-kiralik/villa/18215-9311","60","85.000","30-01-2026","Kiralık Villa","5 +
                          2","360 m²","20
                        Yaşında","","Finansman'dan.. 3 Mutfak.. 4 Kış Bahçesi.. Havuzlu.. Bahçeli Köşe Villa","İstanbul / Başakşehir / Bahçeşehir 2. Kısım Mah.","https://www.hepsiemlak.com/emlak-ofisi/finansman-gayrimenkul-18215","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/1/2/8/1/0/c89716d0-cb34-4b6c-a786-18ff1ccefab0.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/2/8/1/0/6c519842-3b17-45dd-918f-df5a16e3e750.jpg","Finansman Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-esenyurt-zafer-kiralik/daire/140956-268","43","39.500","05-02-2026","Kiralık Daire","2 +
                          1","121 m²","2
                        Yaşında","12. Kat","Self İstanbul 2+1 Eşyalı Taşınmaya Hazır 12 Kat Kapalı Mutfak","İstanbul / Esenyurt / Zafer Mah.","","","","","",""
"https://www.hepsiemlak.com/istanbul-esenyurt-necip-fazil-kisakurek-kiralik/daire/140495-84","23","12.000","28-02-2026","Kiralık Daire","1 +
                          1","100 m²","6
                        Yaşında","Zemin","Çatı Konut'tan Kiralık 1.5+1 Zemınkat Daire","İstanbul / Esenyurt / Necip Fazıl Kısakürek Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-bakirkoy-atakoy-7-8-9-10-kisim-kiralik/daire/131647-46","26","45.000","20-01-2026","Kiralık Daire","1 +
                          1","90 m²","10
                        Yaşında","3. Kat","Ataköy Nef 22 Projesinde Kiralık 1+1 Ofis/daire 90m2","İstanbul / Bakırköy / Ataköy 7-8-9-10. Kısım Mah.","https://www.hepsiemlak.com/emlak-ofisi/cesur-concept-proje-131647/cesur-concept-proje-3422698","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Cesur Concept Proje","",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/0-45512503","28","28.000","28-01-2026","Kiralık Daire","Stüdyo","30 m²","25
                        Yaşında","5. Kat","Bahçelievler Metrobüs Yakını Kiralık Daire (tüm Faturalar Dahil)","İstanbul / Bahçelievler / Bahçelievler Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/0-45477378","18","30.000","22-01-2026","Kiralık Daire","Stüdyo","30 m²","25
                        Yaşında","2. Kat","Bahçelievler Metrobüs Yakını Kiralık Eşyalı Daire ( Tüm Faturalar Dahil)","İstanbul / Bahçelievler / Bahçelievler Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-merve-kiralik/daire/162870-3","35","35.000","03-03-2026","Kiralık Daire","3 +
                          1","110 m²","1
                        Yaşında","5. Kat","Uğur Çevik'ten Kiralık 3+1 5.Kat 110m2 Butik Site Kapalı Otopark","İstanbul / Sancaktepe / Merve Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","[object Object]","Hepsiemlak’ta Yeni Üye"
"https://www.hepsiemlak.com/istanbul-kadikoy-fenerbahce-kiralik/daire/130492-3945","51","620.000","28-02-2026","Kiralık Daire","4 +
                          2","433 m²","5
                        Yaşında","19. Kat","Fenerbahçe Sahilde Panoramik Ultra A+  Deniz Manzaralı 317 M2 4+2 Kiralık","İstanbul / Kadıköy / Fenerbahçe Mah.","https://www.hepsiemlak.com/emlak-ofisi/kw-cadde-130492/suleyman-bulut-3889818","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kw Cadde","",""
"https://www.hepsiemlak.com/istanbul-beylikduzu-baris-kiralik/daire/0-45002470","18","23.000","31-01-2026","Kiralık Daire","1 +
                          1","60 m²","6
                        Yaşında","2. Kat","Sahibinden !  Beylikdüzü Metrobüs Yanı Eşyalı Kiralık Daire( Tüm Faturalar Dahil)","İstanbul / Beylikdüzü / Barış Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
