"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2","listing-card--owner-info__firm-name","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-maltepe-zumrutevler-kiralik/daire/34400-4964","35","51.000","07-03-2026","Kiralık Daire","2 +
                          1","105 m²","11
                        Yaşında","7. Kat","Maltepe Seyrantepe Sitesin'de 2+1 Kiralık Daire Troyka'dan","İstanbul / Maltepe / Zümrütevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/troyka-real-estate-34400","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/2/4/7/0/7/79641321-8d72-4e67-ae0c-bc079db9f6d0.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/0/4/4/3/0/2acafa23-04f2-45c2-93fc-3d53777824cf.jpg","Troyka Real Estate","Troyka
          Real Estate"
"https://www.hepsiemlak.com/istanbul-kagithane-seyrantepe-kiralik/daire/137813-263","22","32.000","07-02-2026","Kiralık Daire","2 +
                          1","80 m²","29
                        Yaşında","1. Kat","Seyrantepe'de Metroya Yürüme 10 Dk Kiralık Daire","İstanbul / Kağıthane / Seyrantepe Mah.","","","","",""
"https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/24776-1327","10","25.000","24-02-2026","Kiralık Daire","1 +
                          1","55 m²","31
                        Yaşında","Yüksek Giriş","Dikilitaş'ta 1+1, Doğalgaz Sobalı Temiz Daire","İstanbul / Beşiktaş / Dikilitaş Mah.","","","","",""
"https://www.hepsiemlak.com/istanbul-sisli-kustepe-kiralik/daire/120627-272","23","40.000","24-02-2026","Kiralık Daire","3 +
                          1","140 m²","31
                        Yaşında","Bahçe Katı","Bilgi Üni.Karşısında Kiralık Müstakil 3+1 Daire","İstanbul / Şişli / Kuştepe Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-atasehir-inonu-kiralik/daire/129971-858","27","37.500","03-03-2026","Kiralık Daire","1 +
                          1","50 m²","Sıfır Bina","3. Kat","İnönü Mah. Sıfır Binada Sıfır Eşyalı Geniş Ara Kat Daireler","İstanbul / Ataşehir / İnönü Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-1-kisim-kiralik/daire/160612-116","17","35.000","06-03-2026","Kiralık Daire","1 +
                          1","78 m²","2
                        Yaşında","2. Kat","Asmalı Bahçeşehir De Kiralık 1+1 Daire","İstanbul / Başakşehir / Bahçeşehir 1. Kısım Mah.","https://www.hepsiemlak.com/emlak-ofisi/bahcesehir-gayrimenkul-160612","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Bahçeşehir Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-pendik-bahcelievler-kiralik/daire/158114-330","18","30.500","02-03-2026","Kiralık Daire","3 +
                          1","120 m²","21
                        Yaşında","3. Kat","Pendik Bahçelievler Mah. Merkezi Konumda Boş 3+1 Kiralık Daire","İstanbul / Pendik / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-balance-158114/ayse-koymen-4426236","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Remax Balance","Ayşe
          Köymen"
"https://www.hepsiemlak.com/istanbul-kadikoy-fikirtepe-kiralik/daire/139407-821","16","69.900","03-03-2026","Kiralık Daire","2 +
                          1","120 m²","3
                        Yaşında","2. Kat","Fortis Sinanlı Kadıköy 2+1 Eşyalı Kiralık Daire - New Inn (496)","İstanbul / Kadıköy / Fikirtepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/new-inn-serviced-apartments-139407/new-inn-serviced-apartments-3886378","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","New Inn Servıced Apartments","New Inn Servıced
          Apartments"
"https://www.hepsiemlak.com/istanbul-sancaktepe-osmangazi-kiralik/daire/163902-141","32","27.000","26-01-2026","Kiralık Daire","1 +
                          1","67 m²","6
                        Yaşında","6. Kat","Mahal Sanacktepe Site İçi Kiralık 1+1 Daire","İstanbul / Sancaktepe / Osmangazi Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-sultanbeyli-adil-kiralik/daire/2078-8318","39","32.000","22-01-2026","Kiralık Daire","1 +
                          1","68 m²","12
                        Yaşında","2. Kat","Sinpaş Liva Satış Ofisi Remax Prof Sezai T. 1+1 Kiralık Eşyalı","İstanbul / Sultanbeyli / Adil Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-tarabya-kiralik/daire/164563-30","51","55.000","21-01-2026","Kiralık Daire","2 +
                          0","120 m²","Sıfır Bina","5. Kat","Sıfır  Bina Da Asansörlü 2+1 Kiralık Daire","İstanbul / Sarıyer / Tarabya Mah.","https://www.hepsiemlak.com/emlak-ofisi/tarabya-ozgun-gayrimenkul-164563","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Tarabya Özgün Gayrimenkul","Memet
          Özdemir"
