"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-sancaktepe-veysel-karani-kiralik/daire/2137-28269","25","45.000","02-01-2026","Kiralık Daire","2 +
                          1","90 m²","5
                        Yaşında","2. Kat","Sinpaş Aydos Country Sitesi Geniş Teras Kullanımlı 2+1 Keyifli Daire","İstanbul / Sancaktepe / Veysel Karani Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-yildiz-2137","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Yıldız","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-basaksehir-kayabasi-kiralik/daire/69864-1738","","31.000","10-01-2026","Kiralık Daire","2 +
                          1","85 m²","11
                        Yaşında","4. Kat","Kayaşehir De Kiralık Daire","İstanbul / Başakşehir / Kayabaşı Mah.","https://www.hepsiemlak.com/emlak-ofisi/yuva-yatirim-emlak-ve-gayrimenkul-69864/elif-kindik-1331294","","Yuva Yatırım Emlak Ve Gayrimenkul","Elif
          Kindik","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/yuva-yatirim-emlak-ve-gayrimenkul-69864","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/160238-31","1","69.000","09-02-2026","Kiralık Daire","2 +
                          1","90 m²","Sıfır Bina","1. Kat","Göktürk Merkezde Kiralık 2+1 Daire Uzunlar Gayrimenkulden.","İstanbul / Eyüpsultan / Göktürk Merkez Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-kiralik/daire/76885-668","27","20.000","17-02-2026","Kiralık Daire","2 +
                          1","90 m²","6
                        Yaşında","1. Kat","Güzelyurt Metrobüse 3 Dakika 2+1 90 M2 Teras Kat Ferah Daire","İstanbul / Esenyurt / Güzelyurt Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-rumeli-hisari-kiralik/daire/8525-56959","32","270.000","07-02-2026","Kiralık Daire","3 +
                          1","180 m²","25
                        Yaşında","4. Kat","Rumelihisarında Muhtesem Manzaralı 3+1 Kıralık Temız Daıre","İstanbul / Sarıyer / Rumeli Hisarı Mah.","https://www.hepsiemlak.com/emlak-ofisi/versatie-selenium-twins-zorlu-center-8525/sinan-cizmeci-8525","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Versatıe Selenıum Twins Zorlu Center","Sinan
          Çizmeci","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/versatie-selenium-twins-zorlu-center-8525","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/istanbul-fatih-aksaray-kiralik/daire/67379-2412","23","27.000","24-01-2026","Kiralık Daire","2 +
                          1","90 m²","31
                        Yaşında","3. Kat","Aksaray Mh.Kürkçübaşı Külhani Sk' Tadeniz Manzaralı Daire","İstanbul / Fatih / Aksaray Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-bagcilar-100-yil-kiralik/daire/164742-403","24","20.000","05-03-2026","Kiralık Daire","2 +
                          1","120 m²","31
                        Yaşında","2. Kat","Efor Çok'tan Bağcılar 100 Yıl Mah. 2+1 Kiralık Daire","İstanbul / Bağcılar / 100. Yıl Mah.","https://www.hepsiemlak.com/emlak-ofisi/efor-cok-gayrimenkul-164742","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Efor Çok Gayrimenkul","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-atasehir-inonu-kiralik/daire/129971-753","26","44.000","17-12-2025","Kiralık Daire","2 +
                          1","80 m²","16
                        Yaşında","2. Kat","İnönü Mh. Öğrenci Sitesinde Eşyalı Ara Kat 7/24 Güvenlik 2+1","İstanbul / Ataşehir / İnönü Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-besiktas-bebek-kiralik/daire/109249-859","17","180.000","23-01-2026","Kiralık Daire","4 +
                          0","198 m²","40
                        Yaşında","1. Kat","Bebek Üstü Ehram Yokuşunda Panoramik Manzaralı Daire","İstanbul / Beşiktaş / Bebek Mah.","https://www.hepsiemlak.com/emlak-ofisi/afife-elbirlik-gayrimenkul-danismanlik-109249/afife-elbirlik-2272078","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Afife Elbirlik Gayrimenkul Danışmanlık","Afife
          Elbirlik","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/afife-elbirlik-gayrimenkul-danismanlik-109249","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/istanbul-maltepe-cevizli-kiralik/daire/4924-5951","17","50.000","18-12-2025","Kiralık Daire","2 +
                          1","100 m²","10
                        Yaşında","6. Kat","Espa Emlak'dan Maltepe Ritim İstanbulda 2+1 Full Eşyalı Bakımlı","İstanbul / Maltepe / Cevizli Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
