"img-link href","photo-count","list-view-price","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2","listing-card--owner-info__firm-name"
"https://www.hepsiemlak.com/istanbul-tuzla-postane-kiralik/villa/77474-2351","51","104.000","Kiralık Villa","4 +
                          2","250 m²","26
                        Yaşında","","Tuzla Postanede Site İçi Müstakil Bahçeli Villa Naci Avcı Dan","İstanbul / Tuzla / Postane Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/9/2/6/9/8/1/4/9a2edce8-bf01-456c-8678-11ef4c163c65.jpg","",""
"https://www.hepsiemlak.com/istanbul-besiktas-mecidiye-kiralik/daire/1042-2289","34","26.500","Kiralık Daire","2 +
                          1","75 m²","26
                        Yaşında","Yüksek Giriş","Eti'den Ortaköy'de 2+1 75m2 Yenilenmiş Yüksek Giriş, Bahçeli","İstanbul / Beşiktaş / Mecidiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/eti-emlak-1042","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/8/3/1/3/9/5/4/7d9a04d8-711b-40cd-9967-935bbb0be993.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/4/0/1/0/0/90ec4984-aee4-4bc6-86d8-ea5c116d21d6.jpg","Eti Emlak"
"https://www.hepsiemlak.com/istanbul-atasehir-asikveysel-kiralik/daire/77582-2105","31","45.000","Kiralık Daire","2 +
                          2","95 m²","5
                        Yaşında","3. Kat","Esatpaşa Mah. Ulaşıma Yakın 2+2 Teraslı Kiralık Dubleks Daire","İstanbul / Ataşehir / Aşıkveysel Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-real-77582/huseyin-rahmi-ketenci-2510480","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/1/1/8/1/2/6/4/74b25263-e7da-456c-bd51-b09683a79229.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/8/4/0/1/5/2/d2d9c2af-d4cf-4f81-a887-0b359d2def54.jpg","Coldwell Banker Real"
"https://www.hepsiemlak.com/istanbul-sisli-merkez-kiralik/daire/166239-11","13","65.000","Kiralık Daire","2 +
                          1","110 m²","6
                        Yaşında","4. Kat","Şişli Hanımefendi De Genç Binada Dublex 2+1","İstanbul / Şişli / Merkez Mah.","","","",""
"https://www.hepsiemlak.com/istanbul-sisli-merkez-kiralik/residence/40208-2591","18","49.000","Kiralık Residence","1 +
                          1","65 m²","26
                        Yaşında","2. Kat","Şişli Abidei Hürriyet Caddesinde 1+1 Asansörlü Kiralık Daire","İstanbul / Şişli / Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/deveci-emlak-40208","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/2/0/4/0/bc661acf-6630-4a2e-bca3-2e99d19e42dd.jpg","","Deveci Emlak"
"https://www.hepsiemlak.com/istanbul-gaziosmanpasa-karadeniz-kiralik/daire/166605-103","20","25.500","Kiralık Daire","2 +
                          1","95 m²","11
                        Yaşında","2. Kat","Acil Yeni Mah Metrosuna Yürüme Masrafsız Balkonlu 2.Kat 2+1","İstanbul / Gaziosmanpaşa / Karadeniz Mah.","","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/69537-101872","25","110.000","Kiralık Daire","3 +
                          1","200 m²","7
                        Yaşında","4. Kat","Maslak 1453 De 3+1 Eşyalı Güncel Kiralık Daire Oturuma Hazır","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/4/8/2/6/7/5/4/2b435200-10bd-4a76-b8ba-7fa62261abab.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-sariyer-ayazaga-kiralik/daire/69537-101854","58","130.000","Kiralık Daire","2 +
                          1","130 m²","Sıfır Bina","Bahçe Katı","Vadistanbul Invest Vadi Kiralık Bahçe Katı 2+1 Daire Kapalı Mutfak","İstanbul / Sarıyer / Ayazağa Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/5/1/6/7/5/4/1684c759-5b8f-4ae9-ad54-14258acf5399.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/69537-102271","16","105.000","Kiralık Daire","3 +
                          1","220 m²","8
                        Yaşında","Kot 1","Maslak 1453 3+1 Kiralık Eşyalı Daire","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/1/1/7/7/5/4/74d2c1f6-d7dc-4f28-8418-a5131b4fb013.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/residence/69537-99615","19","85.000","Kiralık Residence","2 +
                          1","169 m²","10
                        Yaşında","7. Kat","Ağaoğlu Maslak 1453 Sitesinde C Kule 2+1 Kiralık C Kule ***teraslı***","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/1/1/7/7/5/4/de01b4d0-239c-4aef-8b1f-a85cd95a217b.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
"https://www.hepsiemlak.com/istanbul-basaksehir-kayabasi-kiralik/daire/92710-1740","14","35.000","Kiralık Daire","2 +
                          1","85 m²","13
                        Yaşında","8. Kat","Kayaşehir 15.Bölge Metro Yanında  85m2 Boş Kiralık 2+1 Daire","İstanbul / Başakşehir / Kayabaşı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/8/1/4/2/6/4/a47198b2-8220-4f6e-a611-11955d7882b6.jpg","",""
"https://www.hepsiemlak.com/istanbul-sariyer-maden-kiralik/daire/1994-3390","55","50.000","Kiralık Daire","3 +
                          1","155 m²","26
                        Yaşında","Yüksek Giriş","Sarıyer Madende Ulaşım Çarşı Yakın Ters Dublex 3+1 Kiralık Daire","İstanbul / Sarıyer / Maden Mah.","https://www.hepsiemlak.com/emlak-ofisi/ugur-soydan-emlak-borsasi-1994","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/4/9/1/4/2/6/4/464fe239-f6c8-4a9d-9774-04796422dcbc.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/9/9/1/0/0/89a7309b-80fa-45ef-aef3-2013b712bac1.jpg","Uğur Soydan Emlak Borsası"
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/residence/69537-99581","13","75.000","Kiralık Residence","2 +
                          1","165 m²","10
                        Yaşında","20. Kat","Ağaoğlu Maslak 1453 Sitesinde  Kiralık 2+1 Daire ***boş**köşe Yüksek Kat","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/easy-saygingayrimenkul-1453mashattan-vadistanb-69537","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/2/9/6/6/7/5/4/fbb0ed31-ef66-4b79-bbf9-2cf58864b10e.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/3/5/9/6/0/4c0933c4-2128-4078-ac01-aaf3cfd46eaf.jpg","Easy & Saygıngayrimenkul 1453,mashattan, Vadistanb"
