area,room,living_room,age,floor,city,district,neighbourhood,price
55,1,1,6,3,istanbul,maltepe,altaycesme,42000
120,2,1,32,1,istanbul,sisli,merkez,46000
70,1,1,2,0,istanbul,umraniye,armaganevler,25000
85,2,1,6,0,istanbul,sultangazi,eski habipler,15000
80,2,1,0,2,istanbul,besiktas,yildiz,60000
35,1,1,6,2,istanbul,atasehir,inonu,35000
90,2,1,5,1,istanbul,arnavutkoy,arnavutkoy merkez,25000
80,2,1,0,0,istanbul,kadikoy,hasanpasa,55000
75,2,1,0,8,istanbul,kagithane,talatpasa,37000
105,2,1,7,4,istanbul,sancaktepe,eyup sultan,32500
60,1,1,4,3,istanbul,beylikduzu,yakuplu,22000
180,3,1,6,5,istanbul,eyupsultan,dugmeciler,50000
85,2,1,11,3,istanbul,arnavutkoy,islambey,17000
80,1,1,30,2,istanbul,kagithane,gultepe,24500
90,2,1,30,5,istanbul,beyoglu,kucuk piyale,32000
75,2,1,6,0,istanbul,esenyurt,namik kemal,17000
95,2,1,6,3,istanbul,sancaktepe,safa,25000
100,2,1,26,5,istanbul,sisli,mahmut sevket pasa,22000
60,1,1,2,2,istanbul,tuzla,istasyon,38000
55,1,1,0,2,istanbul,atasehir,kucukbakkalkoy,38000
65,1,1,45,3,istanbul,fatih,aksemsettin,21500
170,3,1,0,7,istanbul,kucukcekmece,fevzi cakmak,70000
100,2,1,6,1,istanbul,esenyurt,inonu,17500
130,3,1,5,1,istanbul,eyupsultan,dugmeciler,57000
130,3,1,2,2,istanbul,basaksehir,altinsehir,35000
130,4,1,0,-3,istanbul,basaksehir,sahintepe,30000
50,1,1,35,4,istanbul,fatih,balat,24000
110,3,1,31,6,istanbul,kagithane,emniyet evleri,34000
75,2,1,11,3,istanbul,umraniye,esenkent,20000
150,4,1,16,4,istanbul,sancaktepe,ataturk,35000
75,2,1,11,4,istanbul,sultangazi,zubeyde hanim,17000
135,3,1,21,2,istanbul,silivri,yeni,25000
95,2,1,15,3,istanbul,esenyurt,yesilkent,13000
110,2,1,3,5,istanbul,basaksehir,guvercintepe,23000
68,1,1,11,3,istanbul,cekmekoy,kirazlidere,30000
169,3,1,16,4,istanbul,umraniye,tatlisu,75000
160,3,1,31,0,istanbul,sile,kumbaba,52000
95,2,1,3,4,istanbul,tuzla,mimar sinan,28000
80,2,1,31,3,istanbul,fatih,seyyid omer,40000
55,1,1,8,11,istanbul,kadikoy,acibadem,49000
75,1,1,40,5,istanbul,sisli,bozkurt,40000
110,2,1,26,1,istanbul,eyupsultan,rami yeni,39000
115,2,1,6,3,istanbul,arnavutkoy,mustafa kemal pasa,27500
120,2,1,15,4,istanbul,basaksehir,bahcesehir 1. kisim,40000
160,2,1,16,5,istanbul,umraniye,cakmak,37000
120,3,1,26,2,istanbul,umraniye,esenkent,27000
98,2,1,21,1,istanbul,tuzla,yayla,30500
135,3,1,26,3,istanbul,sancaktepe,osmangazi,35000
100,2,1,26,3,istanbul,uskudar,burhaniye,25000
200,3,1,11,2,istanbul,kartal,orhantepe,100000
125,3,1,26,6,istanbul,pendik,camcesme,24500
65,1,1,6,0,istanbul,esenyurt,selahaddin eyyubi,11000
90,2,1,26,-1,istanbul,sisli,19 mayis,37000
110,3,1,21,2,istanbul,avcilar,mustafa kemal pasa,28000
100,3,1,6,5,istanbul,sisli,gulbahar,50000
115,3,1,26,4,istanbul,pendik,gullu baglar,25000
82,2,1,15,1,istanbul,pendik,yenisehir,30000
80,2,1,6,2,istanbul,atasehir,inonu,35000
180,3,1,25,0,istanbul,sariyer,zekeriyakoy,75000
47,1,1,5,2,istanbul,atasehir,kayisdagi,26000
110,2,1,5,0,istanbul,esenyurt,yesilkent,15000
126,2,1,0,4,istanbul,kucukcekmece,gultepe,80000
75,2,1,11,-1,istanbul,kagithane,emniyet evleri,17000
85,1,1,31,1,istanbul,sisli,ergenekon,35000
85,2,1,39,5,istanbul,sisli,pasa,20000
90,2,1,1,4,istanbul,maltepe,altintepe,57500
110,2,1,10,1,istanbul,esenyurt,istiklal,15000
85,2,1,0,9,istanbul,kadikoy,caddebostan,90000
90,2,1,8,2,istanbul,maltepe,girne,37500
80,2,1,31,0,istanbul,uskudar,valide-i atik,36000
60,1,1,35,5,istanbul,adalar,maden,30000
85,2,1,26,3,istanbul,kartal,yali,35000
65,3,1,15,1,istanbul,umraniye,cakmak,24000
130,3,1,27,3,istanbul,tuzla,orhanli,18000
80,2,1,26,3,istanbul,maltepe,zumrutevler,22500
61,1,1,0,1,istanbul,esenyurt,sultaniye,18000
85,2,1,26,0,istanbul,uskudar,murat reis,23000
35,1,1,20,1,istanbul,adalar,nizam,20000
130,3,1,26,3,istanbul,uskudar,bahcelievler,42000
65,1,1,31,2,istanbul,beyoglu,katip mustafa celebi,30000
150,3,1,25,5,istanbul,sariyer,ayazaga,70000
80,2,1,15,3,istanbul,umraniye,altinsehir,36000
85,2,1,5,6,istanbul,kagithane,celiktepe,40000
110,2,1,21,2,istanbul,sisli,pasa,26000
75,1,1,11,6,istanbul,sisli,yayla,45000
80,2,1,31,3,istanbul,beyoglu,kulaksiz,26000
100,2,1,45,4,istanbul,beyoglu,cihangir,55000
90,2,1,16,1,istanbul,sancaktepe,osmangazi,20000
150,3,1,31,3,istanbul,uskudar,ferah,34000
186,3,1,6,6,istanbul,basaksehir,kayabasi,69000
189,4,1,30,4,istanbul,sisli,tesvikiye,110000
160,3,1,5,6,istanbul,esenyurt,koza,36000
110,2,1,0,6,istanbul,sariyer,cumhuriyet,60000
95,2,1,35,0,istanbul,sariyer,tarabya,35000
117,2,1,6,4,istanbul,basaksehir,kayabasi,46000
95,2,1,6,2,istanbul,tuzla,aydinli,26000
155,3,1,11,3,istanbul,beykoz,soguksu,110000
95,2,1,21,3,istanbul,kagithane,caglayan,24000
90,2,1,0,1,istanbul,uskudar,mehmet akif ersoy,50000
100,2,1,10,7,istanbul,maltepe,basibuyuk,60000
190,2,1,5,5,istanbul,tuzla,yayla,50000
67,1,1,11,4,istanbul,pendik,yenisehir,28000
50,1,1,1,3,istanbul,silivri,mimar sinan,25000
150,3,1,30,4,istanbul,sariyer,istinye,67000
153,3,1,11,3,istanbul,pendik,yenisehir,55000
100,2,1,25,2,istanbul,beykoz,tokatkoy,31000
140,3,1,27,10,istanbul,beylikduzu,baris,32000
130,3,1,25,0,istanbul,uskudar,cumhuriyet,42500
113,3,1,32,4,istanbul,uskudar,unalan,59000
75,1,1,29,2,istanbul,kagithane,sultan selim,20000
95,2,1,13,3,istanbul,maltepe,aydinevler,39500
87,2,1,6,2,istanbul,sultanbeyli,orhangazi,25000
65,1,1,10,0,istanbul,esenler,fatih,20000
125,3,1,50,1,istanbul,beyoglu,gumussuyu,60000
70,1,1,0,0,istanbul,besiktas,etiler,80000
35,1,1,30,3,istanbul,beyoglu,firuzaga,32000
110,3,1,6,1,istanbul,esenler,fevzi cakmak,37000
120,3,1,20,3,istanbul,pendik,dogu,65000
95,2,1,10,0,istanbul,esenyurt,selahaddin eyyubi,17500
60,1,1,2,8,istanbul,kagithane,ortabayir,47000
65,1,1,0,0,istanbul,esenler,havaalani,20000
55,1,1,5,6,istanbul,atasehir,esatpasa,34000
90,1,1,6,3,istanbul,tuzla,aydinli,40000
80,1,1,28,3,istanbul,sariyer,cayirbasi,35000
136,2,1,0,7,istanbul,kagithane,hamidiye,60000
120,2,1,6,5,istanbul,tuzla,evliya celebi,35000
110,2,1,11,4,istanbul,atasehir,inonu,40000
80,2,1,5,1,istanbul,atasehir,inonu,32000
95,2,1,11,0,istanbul,esenyurt,incirtepe,10000
120,3,1,26,1,istanbul,atasehir,kucukbakkalkoy,37000
95,2,1,21,0,istanbul,sile,cavus,42000
145,3,1,31,4,istanbul,pendik,orhangazi,25000
75,1,1,21,2,istanbul,gaziosmanpasa,merkez,20000
85,1,1,3,6,istanbul,beylikduzu,yakuplu,25000
90,2,1,21,1,istanbul,umraniye,namik kemal,38000
150,3,1,26,1,istanbul,sisli,duatepe,50000
75,2,1,6,1,istanbul,maltepe,zumrutevler,25500
130,3,1,6,5,istanbul,sancaktepe,ataturk,31000
90,2,1,30,1,istanbul,esenler,kazim karabekir,22000
165,4,1,11,4,istanbul,cekmekoy,nisantepe,65000
60,1,1,21,2,istanbul,beyoglu,kocatepe,35000
60,1,1,31,2,istanbul,besiktas,ortakoy,28000
145,3,1,26,0,istanbul,buyukcekmece,mimaroba,33000
90,2,1,21,3,istanbul,kucukcekmece,mehmet akif,18000
110,4,1,38,5,istanbul,kucukcekmece,fatih,30000
75,2,1,25,6,istanbul,kagithane,ortabayir,15000
